mots,valeur
pd,1
cul,0.75
macho,0.5
penal,0.5
viol,1
viols,1
violes,1
viole,1
violer,1
violee,1
violees,1
homo,1
homos,1
agressif,0.75
agressive,0.75
agressivite,0.75
agression,1
agressions,1
fesses,1
fesse,1
propos deplaces,0.75
propos deplace,0.75
bouc emissaire,0.75
souffre douleur,0.75
non ethique,1
pas ethique,1
les seins,1
mes seins,1
humainement difficile,0.5
humainement complique,0.5
faire le marche,0.75
faire leurs marche,0.75
situation genante,0.75
situation genant,0.75
difficile moralement,0.75
difficiles moralement,0.75
parlais tres mal,0.5
parlait tres mal,0.5
parle tres mal,0.5
parler tres mal,0.5
comportements irrespectueux,0.5
comportement irrespectueux,0.5
comportements inacceptable,0.5
comportements inacceptables,0.5
comportement inacceptable,0.5
comportement inadmissible,0.5
comportements inadmissible,0.5
comportements inadmissibles,0.5
stage anxiogenes,0.25
stage anxiogene,0.25
grivoi,1
grivoise,1
grivoises,1
pesant psychologiquement,0.5
pesant moralement,0.5
complique psychologiquement,0.5
difficile psychologiquement,0.5
difficile moralement,0.5
rancoeur,0.25
sadique,0.75
sadiques,0.75
terroriser,0.5
terrorise,0.5
terrorisee,0.5
calvaire,0.5